pos_col,pos_row,tiene_objeto,tipo_obj,bola_retirada,puerta_abierta,accion,q_valor
3,0,True,llave,True,False,open_door,1.106227
3,2,False,,True,False,pick,1.089339
3,0,False,,False,False,pick,1.079425
5,3,False,,True,True,right,1.000000
7,3,False,,True,True,left,1.000000
6,2,False,,True,True,up,1.000000
3,1,True,llave,True,False,down,0.985604
2,0,True,llave,True,False,right,0.985254
3,1,True,bola,True,False,drop,0.973365
3,1,False,,True,False,up,0.970405
2,0,False,,False,False,right,0.961483
3,1,False,,False,False,down,0.928462
6,1,False,,True,True,up,0.890000
5,2,False,,True,True,up,0.890000
7,2,False,,True,True,up,0.890000
5,2,False,,True,True,right,0.890000
8,3,False,,True,True,left,0.889855
7,2,False,,True,True,left,0.889560
3,3,True,bola,True,False,drop,0.886788
3,2,True,llave,True,False,down,0.877044
3,0,True,llave,True,False,up,0.876936
2,1,True,llave,True,False,down,0.875419
3,0,True,llave,True,False,left,0.872634
3,0,True,bola,True,False,up,0.866028
1,0,False,,False,False,right,0.855335
3,1,True,llave,True,False,drop,0.837297
3,0,False,,False,False,open_door,0.831098
3,2,True,llave,False,False,drop,0.815507
2,1,False,,False,False,down,0.810992
3,2,False,,False,False,down,0.804713
6,2,False,,True,True,open_door,0.800000
5,3,False,,True,True,open_door,0.800000
7,3,False,,True,True,open_door,0.799927
2,1,True,llave,True,False,right,0.793286
5,1,False,,True,True,up,0.791000
6,0,False,,True,True,up,0.791000
6,2,False,,True,True,left,0.791000
6,2,False,,True,True,right,0.791000
5,1,False,,True,True,right,0.791000
7,1,False,,True,True,up,0.791000
5,3,False,,True,True,down,0.791000
6,2,False,,True,True,down,0.791000
7,3,False,,True,True,right,0.789727
3,1,True,llave,True,False,open_door,0.786400
8,2,False,,True,True,left,0.784706
3,2,True,bola,True,False,up,0.780234
3,3,True,llave,True,False,down,0.778584
3,1,True,llave,True,False,up,0.777788
2,2,True,llave,True,False,down,0.774422
4,0,False,,True,True,right,0.773056
1,1,True,llave,True,False,right,0.772552
3,2,True,llave,True,False,drop,0.771615
7,3,False,,True,True,down,0.768435
2,0,True,llave,True,False,open_door,0.768150
3,1,True,llave,True,False,left,0.766983
2,0,True,llave,True,False,up,0.766195
3,0,False,,False,False,up,0.761783
0,0,False,,False,False,right,0.759801
4,0,True,llave,True,True,right,0.759539
1,1,False,,False,False,down,0.758529
1,2,True,bola,True,False,right,0.756918
3,0,False,,False,False,left,0.755846
2,0,False,,False,False,open_door,0.743385
2,2,True,llave,True,False,right,0.736314
3,1,False,,False,False,open_door,0.733056
3,1,False,,False,False,up,0.710825
7,1,False,,True,True,left,0.706355
3,1,False,,True,False,pick,0.705033
3,3,False,,False,False,down,0.703980
2,1,False,,False,False,right,0.702957
5,0,False,,True,True,up,0.701900
5,2,False,,True,True,down,0.701900
5,0,False,,True,True,right,0.701900
6,1,False,,True,True,left,0.701900
5,1,True,llave,True,True,drop,0.701900
7,0,False,,True,True,up,0.701900
6,1,False,,True,True,down,0.701900
6,1,False,,True,True,right,0.701900
6,0,True,llave,True,True,drop,0.701900
8,1,False,,True,True,left,0.701848
2,0,False,,False,False,left,0.701342
5,2,False,,True,True,open_door,0.701000
6,1,False,,True,True,open_door,0.700999
7,2,False,,True,True,down,0.699554
2,2,False,,False,False,right,0.699239
2,0,False,,False,False,up,0.697505
5,0,False,,True,True,left,0.691056
2,2,False,,True,False,pick,0.691030
2,2,False,,False,False,down,0.688746
3,2,True,llave,True,False,up,0.688092
3,2,True,llave,True,False,left,0.683150
2,1,True,llave,True,False,open_door,0.681536
3,1,True,bola,True,False,up,0.678695
3,2,False,,False,False,pick,0.678256
3,2,True,llave,True,False,open_door,0.677025
1,2,True,llave,True,False,right,0.675315
3,0,True,llave,True,True,right,0.673585
2,1,True,llave,True,False,left,0.673546
2,2,True,llave,True,False,drop,0.673531
2,1,True,llave,True,False,up,0.673463
2,1,True,bola,True,False,drop,0.666564
3,1,True,bola,True,False,open_door,0.661584
4,0,True,llave,True,True,drop,0.656529
2,0,False,,True,True,right,0.653622
3,1,True,bola,True,False,down,0.653401
3,1,False,,False,False,left,0.653177
2,2,True,llave,False,False,right,0.652586
3,1,False,,True,True,down,0.651654
2,0,True,bola,True,False,right,0.651288
2,3,True,bola,True,False,drop,0.650280
3,1,True,llave,False,False,drop,0.649544
3,3,True,bola,True,False,down,0.648480
7,2,False,,True,True,right,0.643551
3,0,True,llave,True,False,drop,0.641593
3,3,True,llave,False,False,down,0.641082
0,1,False,,False,False,right,0.640201
1,1,True,bola,True,False,drop,0.639109
1,1,False,,False,False,right,0.638262
7,0,False,,True,True,left,0.635242
1,0,False,,False,False,up,0.635159
3,0,True,bola,True,False,drop,0.634964
1,0,True,bola,True,False,drop,0.629091
3,0,False,,True,True,right,0.627883
3,0,True,bola,True,False,left,0.626269
2,1,False,,False,False,left,0.624995
2,1,False,,True,False,right,0.624530
3,1,True,bola,True,False,left,0.622609
3,1,False,,False,False,pick,0.622055
6,0,False,,True,True,left,0.621710
5,1,False,,True,True,down,0.621710
5,0,True,llave,True,True,drop,0.621710
5,0,True,llave,True,True,up,0.621710
6,0,False,,True,True,right,0.621710
5,0,True,llave,True,True,right,0.621706
3,2,False,,False,False,left,0.621677
7,1,False,,True,True,right,0.621368
7,1,False,,True,True,down,0.620509
4,0,False,,True,True,pick,0.620070
3,2,False,,False,False,up,0.619670
2,1,False,,False,False,up,0.617453
1,0,False,,False,False,open_door,0.616596
5,0,True,llave,True,True,left,0.615840
3,2,True,bola,True,False,down,0.615026
2,1,True,bola,True,False,down,0.614984
2,3,False,,False,False,down,0.614018
1,2,False,,True,False,right,0.611927
5,1,False,,True,True,open_door,0.611900
6,0,False,,True,True,open_door,0.611898
2,1,False,,False,False,open_door,0.610912
2,1,True,bola,True,False,right,0.608028
7,2,False,,True,True,open_door,0.607047
1,2,False,,False,False,right,0.605330
3,2,True,bola,True,False,drop,0.604721
1,2,False,,False,False,down,0.603775
2,3,False,,True,False,pick,0.601282
4,0,False,,True,True,left,0.597530
2,2,True,llave,False,False,drop,0.597189
4,0,True,llave,True,True,left,0.595962
2,3,True,llave,True,False,drop,0.594043
2,2,True,llave,True,False,left,0.593769
6,1,True,llave,True,True,drop,0.593250
2,0,True,llave,True,True,right,0.592061
2,1,True,llave,True,False,drop,0.591943
3,2,True,bola,True,False,left,0.591162
3,2,False,,False,False,open_door,0.590979
7,1,False,,True,True,open_door,0.589732
2,2,True,bola,True,False,right,0.588169
3,2,False,,True,False,open_door,0.586881
2,0,True,bola,True,False,up,0.584615
2,3,True,llave,True,False,down,0.584091
3,1,True,llave,False,False,up,0.583712
3,2,True,bola,True,False,open_door,0.582836
8,0,False,,True,True,left,0.582540
2,0,True,bola,True,False,drop,0.582213
2,2,True,llave,True,False,up,0.582183
5,0,False,,True,True,pick,0.581710
3,3,True,llave,True,False,drop,0.580674
3,3,True,bola,True,False,open_door,0.580106
2,2,True,llave,True,False,open_door,0.577815
3,2,True,llave,False,False,open_door,0.577300
2,1,False,,True,False,pick,0.577295
3,0,False,,True,True,left,0.574306
4,0,True,llave,True,True,open_door,0.574209
2,1,False,,True,True,down,0.573374
1,0,False,,False,False,left,0.572510
1,1,False,,False,False,up,0.572150
3,1,True,llave,True,True,drop,0.569946
4,0,False,,True,True,open_door,0.566032
3,0,False,,True,True,open_door,0.564685
3,0,True,llave,True,True,drop,0.563377
3,0,False,,True,True,up,0.562556
3,0,True,bola,True,False,open_door,0.561358
0,2,False,,False,False,right,0.561249
3,0,False,,True,True,pick,0.558457
1,0,False,,True,True,right,0.558310
2,0,True,llave,True,False,drop,0.557561
3,2,False,,True,True,down,0.556058
2,2,True,bola,True,False,drop,0.555295
3,3,True,llave,True,False,open_door,0.555287
0,2,False,,False,False,down,0.554507
2,0,False,,True,False,up,0.552077
3,3,False,,True,False,down,0.552077
3,3,True,llave,True,False,left,0.550794
1,3,False,,False,False,right,0.547559
2,2,False,,False,False,left,0.547494
3,3,True,llave,False,False,drop,0.547231
0,0,False,,False,False,open_door,0.546902
1,1,False,,False,False,left,0.544443
3,2,True,llave,False,False,left,0.543832
0,0,False,,False,False,up,0.543693
2,2,False,,False,False,up,0.543668
7,0,True,llave,True,True,drop,0.543567
2,2,False,,False,False,open_door,0.542037
3,0,True,llave,False,False,up,0.541794
1,1,False,,True,False,up,0.540734
1,2,True,llave,False,False,right,0.536487
2,1,True,bola,True,False,left,0.535355
2,3,False,,False,False,right,0.534895
0,1,False,,False,False,down,0.534861
2,0,True,llave,True,True,drop,0.533558
2,1,True,llave,False,False,right,0.532047
5,0,False,,True,True,open_door,0.531710
3,2,True,llave,False,False,up,0.531252
2,2,False,,True,False,up,0.531154
1,3,False,,True,False,right,0.531154
1,0,True,bola,True,False,right,0.531064
2,1,True,bola,True,False,up,0.530385
7,0,False,,True,True,open_door,0.529906
2,0,True,bola,True,False,left,0.529022
3,3,False,,False,False,left,0.528058
3,1,False,,True,True,pick,0.527624
2,0,False,,True,False,pick,0.524437
1,1,False,,False,False,open_door,0.521834
3,2,True,llave,False,False,down,0.516021
3,0,True,llave,True,True,left,0.515644
2,2,False,,False,False,pick,0.514765
2,3,True,llave,False,False,right,0.514149
3,3,False,,False,False,pick,0.513798
8,2,False,,True,True,up,0.508797
2,0,True,bola,True,False,open_door,0.505441
3,0,True,llave,True,True,open_door,0.502004
2,1,True,llave,True,True,right,0.500454
3,1,True,llave,False,False,open_door,0.499951
3,0,True,llave,True,True,up,0.496692
1,3,False,,False,False,down,0.496558
0,1,False,,False,False,up,0.496494
2,2,True,bola,True,False,up,0.494099
3,1,True,llave,False,False,down,0.493523
3,1,False,,True,True,left,0.493264
2,0,False,,True,True,up,0.490546
3,3,False,,True,False,pick,0.489972
3,3,False,,False,False,open_door,0.488763
1,0,True,llave,True,True,right,0.487351
3,2,False,,True,False,left,0.486927
3,0,False,,True,False,left,0.486869
2,3,False,,True,False,right,0.486869
2,0,False,,True,True,left,0.481343
3,2,True,llave,True,True,drop,0.477673
3,3,True,llave,False,False,open_door,0.477077
1,0,False,,True,False,up,0.476661
1,3,True,llave,True,False,drop,0.476306
1,1,True,llave,True,False,up,0.476150
8,2,False,,True,True,open_door,0.475056
3,1,False,,True,True,up,0.471745
2,2,False,,True,True,right,0.470013
3,1,True,llave,False,False,left,0.469506
0,1,False,,False,False,open_door,0.467149
8,0,False,,True,True,up,0.464585
3,3,False,,True,True,down,0.464383
3,1,False,,True,True,open_door,0.464282
5,0,True,llave,True,True,open_door,0.459541
2,2,False,,True,False,right,0.459306
1,2,False,,False,False,left,0.459084
6,0,False,,True,True,pick,0.458906
2,0,False,,True,True,open_door,0.458704
3,0,False,,True,False,pick,0.458268
1,0,True,llave,True,False,drop,0.454569
0,3,False,,False,False,right,0.452294
2,3,False,,False,False,left,0.447889
2,1,True,llave,False,False,drop,0.445696
2,2,False,,True,False,left,0.444246
1,2,False,,False,False,up,0.443351
2,3,False,,False,False,open_door,0.442457
2,3,True,llave,False,False,down,0.440607
1,2,False,,False,False,open_door,0.436007
3,2,False,,True,False,up,0.430975
2,2,True,llave,False,False,left,0.429792
2,1,True,bola,True,False,open_door,0.428732
3,1,False,,True,False,down,0.428182
1,0,True,bola,True,False,up,0.426535
3,1,True,llave,True,True,left,0.423540
2,3,True,llave,True,False,open_door,0.418252
2,1,True,llave,False,False,up,0.416454
2,2,True,bola,True,False,left,0.410156
8,1,False,,True,True,up,0.407535
3,3,True,bola,True,False,left,0.406662
8,3,False,,True,True,down,0.405955
2,0,True,llave,True,True,left,0.405579
1,1,True,llave,False,False,right,0.398633
2,2,False,,True,False,open_door,0.396927
3,3,True,llave,False,False,left,0.396357
2,1,False,,True,False,left,0.395674
0,2,False,,False,False,open_door,0.393395
5,1,True,llave,True,True,open_door,0.391380
2,0,True,llave,False,False,drop,0.388499
2,0,True,llave,True,False,left,0.388170
2,0,True,llave,True,True,open_door,0.386842
2,3,True,llave,True,False,right,0.386071
0,3,False,,False,False,down,0.385574
8,3,False,,True,True,open_door,0.374953
3,1,True,llave,True,True,up,0.374841
3,0,False,,True,False,up,0.374530
0,0,False,,True,False,right,0.371578
1,0,False,,True,False,pick,0.371298
0,0,False,,True,True,right,0.370115
2,2,True,llave,False,False,open_door,0.368877
1,1,True,llave,True,False,open_door,0.367632
3,0,True,llave,False,False,open_door,0.364262
2,1,True,llave,True,True,drop,0.364057
1,1,True,llave,True,False,drop,0.362363
2,1,False,,True,False,up,0.361927
2,2,True,llave,False,False,down,0.360291
1,3,False,,True,False,down,0.355961
1,3,False,,False,False,left,0.355433
1,3,False,,False,False,open_door,0.354832
1,2,True,llave,True,False,down,0.352452
1,1,False,,True,True,down,0.351598
0,2,False,,False,False,up,0.348116
2,2,True,bola,True,False,down,0.345839
3,2,False,,True,True,up,0.345573
1,3,False,,False,False,pick,0.342749
1,3,True,bola,True,False,drop,0.342330
2,1,False,,True,True,up,0.341626
7,0,False,,True,True,right,0.339795
0,2,True,bola,True,False,right,0.339713
2,3,False,,True,True,right,0.339044
3,2,False,,True,True,open_door,0.336665
5,1,False,,True,True,pick,0.330950
1,0,True,bola,True,False,open_door,0.328832
1,2,True,llave,True,False,open_door,0.328557
3,0,False,,True,False,open_door,0.327563
0,1,True,bola,True,False,right,0.325880
1,1,True,bola,True,False,down,0.324943
3,0,True,llave,False,False,drop,0.321009
1,1,True,bola,True,False,up,0.320846
2,1,False,,True,False,open_door,0.319710
2,2,False,,True,True,down,0.319267
0,0,True,bola,True,False,right,0.312736
2,0,True,llave,True,True,up,0.312062
1,0,True,llave,True,False,up,0.311509
3,1,True,llave,True,True,open_door,0.310604
3,2,False,,True,True,left,0.309053
8,1,False,,True,True,down,0.304522
3,1,False,,True,False,left,0.296405
1,2,False,,True,True,right,0.295917
1,3,False,,True,False,pick,0.294072
2,1,True,llave,False,False,left,0.293270
2,2,False,,True,False,down,0.290734
1,3,True,llave,False,False,drop,0.284809
3,1,False,,True,False,open_door,0.284530
3,3,False,,True,False,left,0.281154
1,2,False,,True,False,open_door,0.281104
0,3,True,llave,True,False,drop,0.278375
0,3,False,,False,False,open_door,0.276893
0,2,True,llave,True,False,right,0.275592
1,0,True,bola,True,False,left,0.274382
1,2,True,bola,True,False,down,0.273729
8,1,False,,True,True,open_door,0.271686
1,1,False,,True,False,pick,0.268608
1,1,True,bola,True,False,right,0.267385
2,0,False,,True,True,pick,0.264354
2,1,False,,True,True,right,0.261731
